ID,Class
1,normal
2,neptune
3,neptune
4,smurf
5,smurf
6,neptune
7,normal
8,normal
9,smurf
10,smurf
11,smurf
12,smurf
13,normal
14,normal
15,normal
16,smurf
17,neptune
18,normal
19,smurf
20,normal
21,normal
22,smurf
23,smurf
24,normal
25,neptune
26,smurf
27,normal
28,normal
29,smurf
30,normal
31,normal
32,normal
33,neptune
34,neptune
35,normal
36,normal
37,normal
38,normal
39,normal
40,normal
41,neptune
42,smurf
43,normal
44,smurf
45,normal
46,neptune
47,smurf
48,neptune
49,neptune
50,normal
51,neptune
52,normal
53,normal
54,smurf
55,normal
56,neptune
57,smurf
58,smurf
59,neptune
60,neptune
61,normal
62,neptune
63,neptune
64,normal
65,normal
66,normal
67,normal
68,neptune
69,smurf
70,neptune
71,neptune
72,normal
73,satan
74,neptune
75,smurf
76,normal
77,neptune
78,normal
79,neptune
80,normal
81,neptune
82,smurf
83,normal
84,smurf
85,normal
86,normal
87,smurf
88,smurf
89,smurf
90,smurf
91,neptune
92,smurf
93,smurf
94,neptune
95,neptune
96,normal
97,neptune
98,neptune
99,normal
100,smurf
101,neptune
102,normal
103,neptune
104,smurf
105,neptune
106,smurf
107,smurf
108,normal
109,smurf
110,normal
111,neptune
112,back
113,smurf
114,normal
115,smurf
116,smurf
117,normal
118,normal
119,normal
120,smurf
121,smurf
122,normal
123,smurf
124,normal
125,normal
126,satan
127,smurf
128,normal
129,smurf
130,normal
131,normal
132,neptune
133,neptune
134,smurf
135,normal
136,smurf
137,smurf
138,normal
139,smurf
140,normal
141,smurf
142,normal
143,neptune
144,neptune
145,normal
146,smurf
147,smurf
148,normal
149,normal
150,normal
151,smurf
152,normal
153,neptune
154,smurf
155,neptune
156,normal
157,normal
158,normal
159,normal
160,smurf
161,smurf
162,smurf
163,smurf
164,neptune
165,normal
166,normal
167,smurf
168,neptune
169,neptune
170,normal
171,normal
172,normal
173,smurf
174,smurf
175,normal
176,smurf
177,smurf
178,neptune
179,normal
180,normal
181,smurf
182,normal
183,normal
184,neptune
185,smurf
186,smurf
187,smurf
188,normal
189,normal
190,smurf
191,smurf
192,smurf
193,neptune
194,smurf
195,normal
196,smurf
197,smurf
198,normal
199,smurf
200,normal
201,neptune
202,normal
203,normal
204,normal
205,smurf
206,smurf
207,normal
208,normal
209,normal
210,smurf
211,smurf
212,neptune
213,normal
214,neptune
215,neptune
216,normal
217,normal
218,normal
219,neptune
220,smurf
221,neptune
222,neptune
223,neptune
224,neptune
225,neptune
226,smurf
227,normal
228,normal
229,neptune
230,normal
231,normal
232,normal
233,smurf
234,normal
235,normal
236,normal
237,neptune
238,smurf
239,neptune
240,neptune
241,normal
242,neptune
243,normal
244,neptune
245,teardrop
246,smurf
247,smurf
248,smurf
249,smurf
250,smurf
251,normal
252,normal
253,normal
254,smurf
255,normal
256,normal
257,smurf
258,smurf
259,smurf
260,smurf
261,normal
262,smurf
263,smurf
264,smurf
265,neptune
266,smurf
267,normal
268,normal
269,smurf
270,smurf
271,neptune
272,normal
273,neptune
274,smurf
275,normal
276,normal
277,normal
278,smurf
279,neptune
280,neptune
281,normal
282,smurf
283,smurf
284,normal
285,normal
286,smurf
287,neptune
288,neptune
289,neptune
290,smurf
291,neptune
292,smurf
293,normal
294,normal
295,normal
296,smurf
297,smurf
298,normal
299,normal
300,normal
301,normal
302,normal
303,smurf
304,normal
305,neptune
306,smurf
307,normal
308,smurf
309,normal
310,neptune
311,smurf
312,smurf
313,smurf
314,neptune
315,smurf
316,neptune
317,neptune
318,normal
319,smurf
320,neptune
321,smurf
322,normal
323,smurf
324,smurf
325,neptune
326,normal
327,normal
328,normal
329,smurf
330,neptune
331,neptune
332,smurf
333,smurf
334,neptune
335,neptune
336,neptune
337,normal
338,normal
339,smurf
340,normal
341,smurf
342,neptune
343,smurf
