Bigram,Pointwise Coefficient,"(x,y)",(x),(y)
"('ttrisula', 'ahaaiiyy')",23.05772723,1,1,1
"('ahahahahahhahahahahahahahahahahahah', 'olvidemoslo')",23.05772723,1,1,1
"('dhantird', 'inafull')",23.05772723,1,1,1
"('aerusviper', 'aerusfitzy')",23.05772723,1,1,1
"('rutledgewood', 'adamferrara')",23.05772723,1,1,1
"('jbdvysunamvidh', 'brentanner')",23.05772723,1,1,1
"('voaanjos', 'heuehueue')",23.05772723,1,1,1
"('amisri', 'soniya')",23.05772723,1,1,1
"('beltgel', 'muutai')",23.05772723,1,1,1
"('lovegained', 'paolagudda')",23.05772723,1,1,1
"('kwenye', 'fomu')",23.05772723,1,1,1
"('dhorjo', 'harader')",23.05772723,1,1,1
"('vianikkki', 'gvrys')",23.05772723,1,1,1
"('annotated', 'jmx')",23.05772723,1,1,1
"('pjflock', 'trainhard')",23.05772723,1,1,1
"('seaniepc', 'beenjaked')",23.05772723,1,1,1
"('stillbelieve', 'fanforever')",23.05772723,1,1,1
"('hsfe', 'veeb')",23.05772723,1,1,1
"('meeeeuuu', 'deeeusss')",23.05772723,1,1,1
"('surgepedal', 'plazapedal')",23.05772723,1,1,1
"('nulan', ""sebelum'a"")",23.05772723,1,1,1
"('itigershroff', 'tiggu')",23.05772723,1,1,1
"('satam', 'ozgoruwton')",23.05772723,1,1,1
"('notagoodidea', 'tastedgood')",23.05772723,1,1,1
"('keseden', 'kesmleer')",23.05772723,1,1,1
"('dbvalentine', 'blanketcrap')",23.05772723,1,1,1
"('mhwrnie', 'artonoakbar')",23.05772723,1,1,1
"('mightymendoza', 'safertaxicl')",23.05772723,1,1,1
"('kolleya', 'mashii')",23.05772723,1,1,1
"('pakmun', 'sibukki')",23.05772723,1,1,1
"('votnera', 'vorits')",23.05772723,1,1,1
"('decampeonato', 'tcdeportes')",23.05772723,1,1,1
"('fatmasalim', 'zainabdaham')",23.05772723,1,1,1
"('lacamisadeburgos', 'omartele')",23.05772723,1,1,1
"('kalynpalmerton', 'amberanickoli')",23.05772723,1,1,1
"('onovaryadi', 'ratuherliam')",23.05772723,1,1,1
"('visdaybreak', 'tylxalive')",23.05772723,1,1,1
"('sahiwal', 'contect')",23.05772723,1,1,1
"('erikie', 'soeric')",23.05772723,1,1,1
"('ssaaaahhuuurr', 'saahur')",23.05772723,1,1,1
"('terbangkalai', 'lawong')",23.05772723,1,1,1
"('wijaya', 'kusuma')",23.05772723,1,1,1
"('kmflett', 'lindasgrant')",23.05772723,1,1,1
"('camycjs', 'mismoooooooooooo')",23.05772723,1,1,1
"('sanskriti', 'bachane')",23.05772723,1,1,1
"('qedaar', 'deseguroo')",23.05772723,1,1,1
"('valentinamijars', 'descortees')",23.05772723,1,1,1
"('rizlieavani', 'handinifs')",23.05772723,1,1,1
"('pueeeede', 'seeeeer')",23.05772723,1,1,1
"('almadinafmsyria', 'emadaljebbeh')",23.05772723,1,1,1
"('dfls', 'kdfj')",23.05772723,1,1,1
"('murlouc', 'asjkdhiausjdhsa')",23.05772723,1,1,1
"('bruprovetti', 'robertinduraes')",23.05772723,1,1,1
"('hayda', 'ubyad')",23.05772723,1,1,1
"('rociodaruich', 'nicoosantillan')",23.05772723,1,1,1
"('mapigilang', 'umiyakk')",23.05772723,1,1,1
"('jazzkindacool', 'lunarsouul')",23.05772723,1,1,1
"('itswalemobitch', 'cadenos')",23.05772723,1,1,1
"('umba', 'revolcado')",23.05772723,1,1,1
"('dikafeira', 'aldika')",23.05772723,1,1,1
"('annamaijsa', 'telemarinera')",23.05772723,1,1,1
"('allein', 'bbzvenlo')",23.05772723,1,1,1
"('thunderumblfish', 'jjseapepper')",23.05772723,1,1,1
"('nehalsroy', 'divyaszaika')",23.05772723,1,1,1
"('tarrayn', 'demediw')",23.05772723,1,1,1
